State,CarryHG,CarryLG,PurchaseHG,PurchaseLG,ShootFirst,GunShow,Safety,Restrict
NM,Yellow,Red,Yellow,Yellow,Yellow,Red,Red,Yellow
NV,Yellow,Red,Yellow,Yellow,Red,Yellow,Red,Red
AZ,Red,Red,Red,Red,Red,Red,Red,Red
UT,Green,Red,Yellow,Yellow,Red,Red,Red,Red
CO,Yellow,Red,Red,Red,Green,Green,Red,Red
HI,Green,Red,Green,Green,Green,Red,Red,Red
CA,Green,Green,Green,Yellow,Yellow,Green,Yellow,Red
WA,Yellow,Red,Green,Yellow,Yellow,Red,Red,Yellow
OR,Yellow,Red,Green,Green,Yellow,Green,Red,Red
MT,Yellow,Red,Yellow,Yellow,Red,Red,Red,Yellow
AK,Red,Red,Red,Red,Red,Red,Red,Yellow
ID,Yellow,Red,Red,Red,Yellow,Red,Red,Red
WY,Red,Red,Yellow,Yellow,Green,Red,Red,Green
NE,Yellow,Red,Green,Yellow,Green,Red,Red,Green
SD,Yellow,Red,Red,Red,Red,Red,Red,Yellow
ND,Yellow,Red,Yellow,Yellow,Red,Red,Red,Green
KS,Yellow,Red,Yellow,Yellow,Red,Red,Red,Red
WI,Yellow,Red,Yellow,Yellow,Red,Red,Red,Red
MO,Yellow,Red,Yellow,Yellow,Red,Red,Red,Green
MN,Green,Green,Green,Yellow,Green,Red,Red,Yellow
MI,Yellow,Red,Green,Green,Red,Red,Green,Green
KY,Yellow,Red,Yellow,Yellow,Red,Red,Red,Yellow
OH,Yellow,Red,Yellow,Yellow,Red,Red,Green,Yellow
IA,Green,Red,Green,Yellow,Green,Red,Red,Red
IN,Green,Red,Yellow,Yellow,Red,Red,Red,Red
IL,Green,Green,Green,Green,Yellow,Green,Yellow,Green
VT,Red,Red,Red,Red,Green,Red,Red,Red
RI,Green,Red,Red,Red,Green,Green,Green,Red
PA,Yellow,Red,Green,Yellow,Red,Green,Yellow,Red
NY,Green,Red,Green,Yellow,Green,Green,Green,Yellow
NJ,Green,Green,Green,Green,Green,Yellow,Green,Red
NH,Green,Red,Yellow,Yellow,Red,Red,Red,Red
DE,Green,Green,Green,Green,Green,Green,Green,Red
MA,Green,Green,Green,Green,Green,Yellow,Green,Red
MD,Green,Red,Green,Yellow,Green,Green,Yellow,Red
ME,Yellow,Red,Yellow,Yellow,Green,Yellow,Red,Yellow
DC,Yellow,Red,Yellow,Yellow,Green,Yellow,Red,Green
CT,Green,Red,Green,Yellow,Green,Green,Green,Red
WV,Yellow,Red,Yellow,Yellow,Red,Red,Red,Red
VA,Yellow,Red,Yellow,Yellow,Yellow,Yellow,Red,Yellow
TN,Green,Red,Yellow,Yellow,Red,Red,Red,Red
SC,Green,Red,Yellow,Yellow,Red,Red,Red,Green
NC,Yellow,Red,Green,Yellow,Red,Red,Red,Yellow
GA,Green,Red,Yellow,Yellow,Red,Red,Red,Yewllow
FL,Green,Green,Red,Red,Red,Red,Red,Yellow
LA,Yellow,Red,Yellow,Yellow,Red,Red,Red,Green
AL,Yellow,Red,Yellow,Yellow,Red,Red,Red,Red
MS,Yellow,Red,Yellow,Yellow,Red,Red,Red,Green
AR,Yellow,Red,Yellow,Yellow,Green,Red,Red,Green
OK,Yellow,Red,Yellow,Yellow,Red,Red,Red,Yellow
TX,Green,Red,Yellow,Yellow,Red,Red,Red,Green